"id","name","path__id","path__name","subCategories__id","subCategories__name"
"abcat0010000","Gift Ideas","abcat0010000","Gift Ideas","pcmcat140000050035","Capturing Photos & Videos"
"","","","","pcmcat140000050036","Listening to Digital Music"
"","","","","pcmcat140000050037","Computing Made Easy"
"","","","","pcmcat140000050039","Simple GPS Navigation"
"","","","","pcmcat140000050040","Playing Video Games"
"","","","","pcmcat140000050041","Watching HDTV"
"","","","","pcmcat140000050042","Enjoying Favorite Movies"
"","","","","abcat0012000","Him"
"","","","","abcat0011000","Her"
"","","","","abcat0013000","Teens"
"","","","","abcat0014000","Kids"
"","","","","pcmcat84000050001","Anniversaries"
"","","","","pcmcat84000050004","Baby Showers"
"","","","","pcmcat94300050028","Birthdays"
"","","","","pcmcat84000050002","Business Gifts"
"","","","","pcmcat84000050003","Graduations"
"","","","","pcmcat84000050000","Weddings"
"","","","","abcat0020004","Unique Gifts"
"","","","","pcmcat111900050004","Pink and Red Gifts"
"","","","","abcat0020006","Prepaid Cards"
"","","","","pcmcat231900050003","eGift Cards"
"","","","","pcmcat253700050028","QP Test Category"
"","","","","pcmcat312700050000","Our Favorite Gift Ideas"
"","","","","pcmcat327600050005","Easter Made Easy"
"","","","","pcmcat327600050006","Brunches Made Easy"
"","","","","pcmcat332300050004","Grads Gifting"
"","","","","pcmcat748300579354","Family Gift Ideas"
"","","","","pcmcat748301108075","Stocking Stuffers"
"abcat0020001","Learning Toys","abcat0010000","Gift Ideas","",""
"","","abcat0014000","Kids","",""
"","","abcat0020000","Toys","",""
"","","abcat0020001","Learning Toys","",""
"abcat0020002","DVD Games","abcat0010000","Gift Ideas","",""
"","","abcat0014000","Kids","",""
"","","abcat0020000","Toys","",""
"","","abcat0020002","DVD Games","",""
"abcat0020004","Unique Gifts","abcat0010000","Gift Ideas","",""
"","","abcat0020004","Unique Gifts","",""
"abcat0100000","TV & Home Theater","abcat0100000","TV & Home Theater","abcat0101000","TVs"
"","","","","abcat0103000","Smart TVs & Devices"
"","","","","pcmcat158900050008","Projectors & Screens"
"","","","","abcat0106000","TV Stands, Mounts & Furniture"
"","","","","abcat0205007","Sound Bars"
"","","","","abcat0203000","Home Theater Systems"
"","","","","abcat0102000","Blu-ray & DVD Players"
"","","","","pcmcat161100050040","Streaming Media Players"
"","","","","abcat0107000","TV & Home Theater Accessories"
"","","","","abcat0105000","TV & Internet Service Providers"
"","","","","pcmcat138100050024","TV & Home Theater Services"
"","","","","pcmcat139900050002","Magnolia Home Theater"
"","","","","pcmcat200900050008","Portable TV & Video"
"abcat0101000","TVs","abcat0100000","TV & Home Theater","abcat0101001","All Flat-Panel TVs"
"","","abcat0101000","TVs","pcmcat333800050003","4K Ultra HD TVs"
"","","","","pcmcat220700050011","Smart TVs"
"","","","","pcmcat333800050004","Curved TVs"
"","","","","pcmcat205800050000","3D TVs"
"","","","","pcmcat193400050017","LCD TVs"
"","","","","pcmcat193400050018","LED TVs"
"","","","","pcmcat193400050016","Plasma TVs"
"","","","","pcmcat301000050010","OLED TVs"
"","","","","pcmcat333800050005","Outdoor TVs & Accessories"
"","","","","abcat0101005","TV/DVD Combos"
"","","","","abcat0107000","TV & Home Theater Accessories"
"","","","","pcmcat138100050024","TV & Home Theater Services"
"","","","","abcat0101003","xFront Projectors"
"","","","","abcat0101008","xScreens"
"","","","","abcat0101004","xPortable"
"","","","","abcat0101006","Tube TVs"
"","","","","abcat0101007","Kid's TVs"
"","","","","abcat0107001","TV Accessories"
"abcat0101001","All Flat-Panel TVs","abcat0100000","TV & Home Theater","pcmcat138100050024","TV & Home Theater Services"
"","","abcat0101000","TVs","abcat0107001","TV Accessories"
"","","abcat0101001","All Flat-Panel TVs","",""
"abcat0101005","TV/DVD Combos","abcat0100000","TV & Home Theater","abcat0107001","TV Accessories"
"","","abcat0101000","TVs","",""
"","","abcat0101005","TV/DVD Combos","",""
"abcat0102000","Blu-ray & DVD Players","abcat0100000","TV & Home Theater","abcat0102003","Blu-ray Players"
"","","abcat0102000","Blu-ray & DVD Players","pcmcat220700050006","Smart Blu-ray Players"
